"CUSTOMER ID","CITY","STATE","SERVICE_HISTORY","COMMON PROBLEM","SERVICE_TYPE","VEHICAL COMPANY","SERIVCE_DATE","Revenue","Cost","CUSTOMER_NAME","REPEAT_CUSTOMER"
13,"Ananthapuram","Andhra Pradesh","Suspension Repair; Brake Service","Steering issues","Suspension adjustment","Audi",2024-09-12,354.91,184.72,"Holland Michaela","No"
14,"Ananthapuram","Andhra Pradesh","Tire Rotation; General Maintenance","Tire wear","Tire rotation and balancing","Skoda",2024-07-15,307.69,167.96,"Vue Shaneth","No"
15,"Ananthapuram","Andhra Pradesh","Transmission Fluid Change; Engine Repair","Transmission issues","Transmission service","Kia",2024-03-31,96.32,50.55,"al-Abu Raita","No"
16,"Ananthapuram","Andhra Pradesh","Brake Inspection; Diagnostics","Brake wear","Brake replacement","Bajaj Auto",2024-12-13,454.92,188.77,"Avery Jacynda","Yes"
17,"Ananthapuram","Andhra Pradesh","Oil Change; Tire Alignment","Misaligned wheels","Wheel alignment","Hero MotoCorp",2024-05-16,160.74,97.65,"Khabir Zyre","Yes"
18,"Ananthapuram","Andhra Pradesh","Exhaust Leak; General Maintenance","Exhaust noise","Exhaust system repair","TVS Motor Company",2024-12-20,68.93,46.29,"Fisher Marcus","Yes"
19,"Ananthapuram","Andhra Pradesh","Check Engine Light; Brake Fluid Change","Check engine light","Diagnostic scan","Royal Enfield",2024-11-23,197.56,150.4,"Thao Jerry","No"
20,"Ananthapuram","Andhra Pradesh","Tire Replacement; Oil Change","Poor fuel economy","Fuel system cleaning","Honda (Motorcycle)",2024-01-26,479.53,196.71,"Hallman Alexis","No"
21,"Ananthapuram","Andhra Pradesh","Fluid Leak; Tire Rotation","Fluid leak","Fluid replacement","Yamaha",2024-01-07,450.29,358.26,"Martinez Lidia","No"
22,"Ananthapuram","Andhra Pradesh","Engine Overheating; Diagnostics","Engine overheating","Cooling system flush","Suzuki (Motorcycle)",2024-05-16,361.76,188.53,"Lansing Santos","No"
23,"Ananthapuram","Andhra Pradesh","Transmission Repair; Brake Service","Transmission slipping","Transmission fluid change","Kia",2024-09-10,338.23,262.35,"Mejia Alissa","Yes"
24,"Ananthapuram","Andhra Pradesh","Oil Change; Battery Replacement","Dead battery","Battery replacement","Kia",2024-07-29,497.42,335.78,"al-Nouri Shuaib","No"
25,"Ananthapuram","Andhra Pradesh","Tire Alignment; General Maintenance","Misaligned tires","Tire alignment","Tata Motors",2024-03-18,345.07,199.73,"Sanchez Desiree","No"
26,"Ananthapuram","Andhra Pradesh","Brake Inspection; Oil Change","Brake noise","Brake pad replacement","Maruti Suzuki",2024-03-21,368.84,268,"el-Farman Haafil","No"
27,"Ananthapuram","Andhra Pradesh","Engine Diagnostics; Tune-Up","Engine misfiring","Spark plug replacement","Ford",2024-02-12,294.83,122.59,"Jackson Brandis","No"
28,"Ananthapuram","Andhra Pradesh","Suspension Repair; Brake Service","Steering issues","Suspension adjustment","Honda",2024-12-24,317.36,220.76,"Tabullo Alexandria","Yes"
29,"Ananthapuram","Andhra Pradesh","Tire Rotation; General Maintenance","Tire wear","Tire rotation and balancing","Toyota",2024-11-27,180.12,97.17,"Tchenawou Jade","No"
30,"Ananthapuram","Andhra Pradesh","Transmission Fluid Change; Engine Repair","Transmission issues","Transmission service","Mahindra & Mahindra",2024-05-22,116.2,85.02,"Ortega Daniel","No"
31,"Ananthapuram","Andhra Pradesh","Brake Inspection; Diagnostics","Brake wear","Brake replacement","Nissan",2024-02-01,483.36,296.89,"Donner Kyle","No"
32,"Ananthapuram","Andhra Pradesh","Oil Change; Tire Alignment","Misaligned wheels","Wheel alignment","Volkswagen",2024-04-18,456.03,232.49,"Jones Mehgan","Yes"
33,"Ananthapuram","Andhra Pradesh","Exhaust Leak; General Maintenance","Exhaust noise","Exhaust system repair","Renault",2024-09-19,360.82,259.93,"al-Hossain Manaahil","Yes"
34,"Ananthapuram","Andhra Pradesh","Check Engine Light; Brake Fluid Change","Check engine light","Diagnostic scan","Hyundai",2024-11-25,407.96,178.14,"Dessie Marvin","Yes"
35,"Ananthapuram","Andhra Pradesh","Tire Replacement; Oil Change","Poor fuel economy","Fuel system cleaning","Bajaj Auto",2024-01-23,61.08,44.76,"Threatt Tiana","No"
36,"Ananthapuram","Andhra Pradesh","Fluid Leak; Tire Rotation","Fluid leak","Fluid replacement","TVS Motor Company",2024-11-04,265.01,135.35,"Ferguson Jasmin","No"
37,"Ananthapuram","Andhra Pradesh","Engine Overheating; Diagnostics","Engine overheating","Cooling system flush","Hero MotoCorp",2024-05-14,391.31,274.4,"Khabir Zyre","Yes"
38,"Ananthapuram","Andhra Pradesh","Transmission Repair; Brake Service","Transmission slipping","Transmission fluid change","Toyota",2024-11-04,147.38,115.79,"al-Akram Ghuzaila","Yes"
39,"Ananthapuram","Andhra Pradesh","Oil Change; Battery Inspection","Dead battery","Battery replacement","Hyundai",2024-08-11,193.18,83.57,"Medicine Bear Marcus","No"
40,"Ananthapuram","Andhra Pradesh","Tire Alignment; General Maintenance","Tire wear","Tire rotation","Honda",2024-06-14,154.23,114.4,"Krantz Laten","No"
41,"Ananthapuram","Andhra Pradesh","Brake Repair; Oil Change","Brake squeal","Brake pad replacement","Tvs",2024-08-04,114.26,82.37,"Hoepfner Corey","Yes"
42,"Ananthapuram","Andhra Pradesh","Engine Check; Suspension Repair","Steering issues","Suspension adjustment","Kia",2024-10-16,236.55,131.07,"Rocha Ira","Yes"
43,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Brake Service","Exhaust noise","Exhaust system repair","Tata Motors",2024-03-09,236.18,125.42,"Martinez Darren","No"
44,"Ananthapuram","Andhra Pradesh","Transmission Service; Oil Change","Slipping transmission","Transmission fluid change","Maruti Suzuki",2024-03-12,215.98,104.1,"Colbert Jerusalem","Yes"
45,"Ananthapuram","Andhra Pradesh","Fluid Check; Tire Replacement","Poor fuel economy","Fuel system cleaning","Honda",2024-03-16,118.6,74.45,"Terrell Destanie","No"
46,"Ananthapuram","Andhra Pradesh","Check Engine Light; General Maintenance","Check engine light","Diagnostic scan","Royal Enfield",2024-03-03,112.46,84.93,"Cerna Erik","Yes"
47,"Ananthapuram","Andhra Pradesh","Brake Fluid Change; Engine Repair","Brake fluid leak","Brake fluid replacement","Yamaha",2024-05-20,154.87,94.76,"Anaya Alexander","No"
48,"Ananthapuram","Andhra Pradesh","Tire Alignment; Oil Change","Misaligned wheels","Wheel alignment","KTM",2024-07-28,259.68,164.84,"Cordova Zachary","No"
49,"Ananthapuram","Andhra Pradesh","Oil Change; Battery Replacement","Dead battery","Battery replacement","Suzuki (Motorcycle)",2024-12-18,169.69,113.06,"Williams Chykeiljah","No"
50,"Ananthapuram","Andhra Pradesh","Engine Diagnostics; Tire Rotation","Engine misfiring","Spark plug replacement","Tvs",2024-12-12,436.02,266.83,"Kanakoqui Ashley","No"
51,"Ananthapuram","Andhra Pradesh","Brake Inspection; General Maintenance","Brake noise","Brake pad replacement","Ford",2024-06-01,70.62,42.65,"Lee Fendi","No"
52,"Ananthapuram","Andhra Pradesh","Exhaust Leak; Oil Change","Exhaust noise","Exhaust system repair","Mahindra & Mahindra",2024-10-20,248.99,101.21,"el-Attar Burhaan","No"
53,"Ananthapuram","Andhra Pradesh","Transmission Repair; Brake Fluid Change","Transmission slipping","Transmission fluid change","Nissan",2024-10-03,409.52,171.62,"Chihak Kevin","No"
54,"Ananthapuram","Andhra Pradesh","Oil Change; Battery Check","Dead battery","Battery replacement","Volkswagen",2024-02-10,104.85,80.92,"Lor Wesley","No"
55,"Ananthapuram","Andhra Pradesh","Fluid Leak; Tire Alignment","Fluid leak","Fluid replacement","Hyundai",2024-03-30,302.43,214.03,"Trinh Abigail","No"
56,"Ananthapuram","Andhra Pradesh","Suspension Repair; Engine Check","Steering issues","Suspension adjustment","Toyota",2024-11-11,142.94,68.67,"Rowe Kevin","No"
57,"Ananthapuram","Andhra Pradesh","Brake Service; General Maintenance","Brake wear","Brake replacement","Bajaj Auto",2024-08-10,107.39,70.89,"Robles Michael","Yes"
58,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Oil Change","Exhaust noise","Exhaust system repair","TVS Motor Company",2024-01-16,388.99,257.32,"Thunblom Wilson Franklin","Yes"
59,"Ananthapuram","Andhra Pradesh","Oil Change, Brake Inspection","Engine overheating","Check coolant level; flush radiator; replace thermostat.","Hero Motocrop",2024-04-25,452.77,252.69,"Lechuga Alana","No"
60,"Ananthapuram","Andhra Pradesh","Tire Rotation, Brake Replacement","Brakes making noise","Inspect pads/rotors; replace if worn.","Mercedes-Benz",2024-04-03,218.51,158.4,"Cha Nivetha","No"
61,"Ananthapuram","Andhra Pradesh","Transmission Service; Diagnostics","Transmission slipping","Transmission fluid change","Tata Motors",2024-09-18,349.3,216.15,"Aggrey Keyonna","No"
62,"Ananthapuram","Andhra Pradesh","Tire Replacement; Oil Change","Poor fuel economy","Fuel system cleaning","Ford",2024-08-22,92.68,69.89,"Cardenas Gonzalez Guadalupe","Yes"
63,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Brake Service","Exhaust noise","Exhaust system repair","Hyundai",2024-03-26,222.79,138.43,"Shells Treyon","Yes"
64,"Ananthapuram","Andhra Pradesh","Brake Inspection; Tire Rotation","Misaligned wheels","Wheel alignment","Nissan",2024-12-07,173.47,132.26,"Nguyen Alexus","Yes"
65,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Check","Engine misfiring","Spark plug replacement","Volkswagen",2024-02-08,416.59,264.53,"el-Salloum Jaasim","Yes"
66,"Ananthapuram","Andhra Pradesh","Suspension Repair; Oil Change","Steering issues","Suspension adjustment","Kia",2024-06-07,251.83,143.39,"Ransom Dominque","Yes"
67,"Ananthapuram","Andhra Pradesh","Engine Repair; Tire Alignment","Misaligned tires","Tire alignment","Toyota",2024-08-27,414.53,323.26,"Enriquez Jordyn","Yes"
68,"Ananthapuram","Andhra Pradesh","Battery Replacement; General Maintenance","Dead battery","Battery replacement","Hero MotoCorp",2024-07-27,415.58,284.1,"Perry Michelle","Yes"
69,"Ananthapuram","Andhra Pradesh","Exhaust Leak; Diagnostics","Exhaust leak","Exhaust system repair","Bajaj Auto",2024-11-01,407.45,230.34,"Jenkins Dalantae","No"
70,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Fluid Change","Brake fluid leak","Brake fluid replacement","Mahindra",2024-02-03,247.92,100.99,"Ransom Dominque","Yes"
71,"Ananthapuram","Andhra Pradesh","Tire Alignment; General Maintenance","Tire wear","Tire rotation and balancing","Renault",2024-01-04,389.51,244.1,"Dessie Marvin","Yes"
72,"Ananthapuram","Andhra Pradesh","Engine Overheating; Tune-Up","Engine overheating","Cooling system flush","Audi",2024-01-13,333.15,198.57,"Kleemola Jessica","No"
73,"Ananthapuram","Andhra Pradesh","Brake Repair; Tire Replacement","Body damage","Body repair","Volkswagen",2024-03-09,369.58,277.73,"Mcdonald Micheal","No"
74,"Ananthapuram","Andhra Pradesh","Fluid Leak; Oil Change","Fluid leak","Fluid replacement","TVS Motor Company",2024-08-30,50.28,36.46,"Torres William","Yes"
75,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Diagnostics","Check engine light","Diagnostic scan","Hero MotoCorp",2024-11-03,263.89,195.71,"Roacho Marrissa","No"
76,"Ananthapuram","Andhra Pradesh","Brake Service; Oil Change","Brake wear","Brake replacement","Hyundai",2024-10-04,149.05,81.55,"Torres Megan","No"
77,"Ananthapuram","Andhra Pradesh","Tire Replacement; Engine Check","Tire wear","Tire rotation and balancing","Bajaj Auto",2024-03-29,220.92,165.6,"Gipson Edward","No"
78,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Brake Fluid Change","Exhaust noise","Exhaust system repair","Ford",2024-01-25,325.75,150.02,"Kodani Faline","Yes"
79,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Inspection","Brake noise","Brake pad replacement","Maruti Suzuki",2024-10-17,208.31,106.81,"Johnson Duaine","No"
80,"Ananthapuram","Andhra Pradesh","Engine Repair; Diagnostics","Engine misfire","Diagnostic scan","Nissan",2024-10-12,100.01,66.67,"Hoepfner Corey","Yes"
81,"Ananthapuram","Andhra Pradesh","Tire Rotation; Brake Service","Tire wear","Tire rotation and balancing","Hyundai",2024-06-07,159.63,126.26,"Fletcher Arianna","No"
82,"Ananthapuram","Andhra Pradesh","Fluid Check; Oil Change","Low oil","Oil replacement","Ford",2024-04-30,350.63,221.98,"al-Selim Mufliha","No"
83,"Ananthapuram","Andhra Pradesh","Brake Inspection; General Maintenance","Brake noise","Brake pad replacement","Mahindra",2024-04-19,237.94,145.29,"Aragon Jordan","Yes"
84,"Ananthapuram","Andhra Pradesh","Engine Diagnostics; Tune-Up","Engine roughness","Spark plug replacement","Toyota",2024-06-06,404.69,171.72,"Gonzalez Mora Melissa","No"
85,"Ananthapuram","Andhra Pradesh","Transmission Fluid Change; Brake Service","Slipping transmission","Transmission fluid change","Volkswagen",2024-03-04,96.29,75.84,"Pech John","Yes"
86,"Ananthapuram","Andhra Pradesh","General Maintenance; Tire Inspection","Tire wear","Tire rotation","Audi",2024-07-17,245.7,110.1,"Secord Samantha","No"
87,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Fluid Change","Brake fluid leak","Brake fluid replacement","Tata Motors",2024-03-07,493.23,214.73,"Pollitt Wahtihdah","No"
88,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Engine Check","Exhaust noise","Exhaust system repair","Bajaj Auto",2024-05-30,451.87,339.94,"Topkoff Alexander","No"
89,"Ananthapuram","Andhra Pradesh","Battery Inspection; General Maintenance","Dead battery","Battery replacement","Hero MotoCorp",2024-11-30,448.91,270.85,"al-Mohammad Sahla","No"
90,"Ananthapuram","Andhra Pradesh","Fluid Leak; Tire Rotation","Fluid leak","Fluid replacement","TVS Motor Company",2024-03-25,128.77,68.89,"Richter Shana","No"
91,"Ananthapuram","Andhra Pradesh","Engine Repair; Brake Service","Engine overheating","Cooling system flush","Hyundai",2024-06-13,108.81,82.45,"Barraza Amy","Yes"
92,"Ananthapuram","Andhra Pradesh","Brake Inspection; Oil Change","Brake noise","Brake pad replacement","Ford",2024-05-15,343.9,141.96,"Maestas Janetta","Yes"
93,"Ananthapuram","Andhra Pradesh","Tire Replacement; Diagnostics","Tire damage","Tire replacement","Tata Motors",2024-02-20,204.58,101.24,"Bui Sarah","Yes"
94,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Repair","Engine misfiring","Spark plug replacement","Nissan",2024-03-14,345.54,233.1,"Ly Davina","No"
95,"Ananthapuram","Andhra Pradesh","Suspension Repair; Oil Change","Steering issues","Suspension adjustment","Kia",2024-06-26,194.17,95.21,"Griffen Tyler","Yes"
96,"Ananthapuram","Andhra Pradesh","Brake Service; Tire Inspection","Brake wear","Brake pad replacement","Hero MotoCorp",2024-12-27,134.46,70.91,"Villar Ochoa Ataly","No"
97,"Ananthapuram","Andhra Pradesh","Fluid Check; Engine Diagnostics","Fluid leak","Fluid replacement","Volkswagen",2024-08-23,402.03,188.79,"Lopez Andrea","No"
98,"Ananthapuram","Andhra Pradesh","Tire Alignment; Brake Inspection","Misaligned tires","Tire alignment","Mahindra",2024-04-07,92.12,66.38,"el-Shariff Nu'ma","No"
99,"Ananthapuram","Andhra Pradesh","Exhaust Leak; General Maintenance","Exhaust noise","Exhaust system repair","Toyota",2024-11-25,260.05,119.24,"Velasquez Leonard","No"
100,"Ananthapuram","Andhra Pradesh","Brake Repair; Oil Change","Brake noise","Brake pad replacement","Audi",2024-08-01,280.18,204.28,"Sherlock Morgan","Yes"
101,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Repair","Brake noise","Brake pad replacement","Honda",2024-05-06,320,170.37,"Sherlock Morgan","Yes"
102,"Ananthapuram","Andhra Pradesh","Transmission Service; Diagnostics","Transmission slipping","Transmission fluid change","Tata Motors",2024-07-30,199.77,109.81,"Vinson Bret","Yes"
103,"Ananthapuram","Andhra Pradesh","Tire Replacement; Oil Change","Poor fuel economy","Fuel system cleaning","Ford",2024-06-22,269.88,175.93,"Nash Phyllis","No"
104,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Brake Service","Exhaust noise","Exhaust system repair","Hyundai",2024-09-29,479.51,210.34,"Garcia Joel","No"
105,"Ananthapuram","Andhra Pradesh","Brake Inspection; Tire Rotation","Misaligned wheels","Wheel alignment","Nissan",2024-10-28,267.31,109.28,"Sisomsune Janet","No"
106,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Check","Engine misfiring","Spark plug replacement","Volkswagen",2024-11-05,450.66,359.27,"Bailey Ashley","No"
107,"Ananthapuram","Andhra Pradesh","Suspension Repair; Oil Change","Steering issues","Suspension adjustment","Kia",2024-08-19,461.5,292.4,"Payton Dmitry","No"
108,"Ananthapuram","Andhra Pradesh","Engine Repair; Tire Alignment","Misaligned tires","Tire alignment","Toyota",2024-12-31,323.93,230.87,"Mascarenas Gloria","No"
109,"Ananthapuram","Andhra Pradesh","Battery Replacement; General Maintenance","Dead battery","Battery replacement","Hero MotoCorp",2024-08-30,234.81,177.69,"Lor Tori","Yes"
110,"Ananthapuram","Andhra Pradesh","Exhaust Leak; Diagnostics","Exhaust leak","Exhaust system repair","Bajaj Auto",2024-12-15,116.19,81.56,"Villano Jeffrey","Yes"
111,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Fluid Change","Brake fluid leak","Brake fluid replacement","Mahindra",2024-11-30,470.88,372.79,"el-Matin Siddeeqi","No"
112,"Ananthapuram","Andhra Pradesh","Tire Alignment; General Maintenance","Tire wear","Tire rotation and balancing","Renault",2024-10-06,185.55,77.5,"Ketchum Dakota","No"
113,"Ananthapuram","Andhra Pradesh","Engine Overheating; Tune-Up","Engine overheating","Cooling system flush","Audi",2024-04-22,77.32,58.87,"Arellano Gabriella","No"
114,"Ananthapuram","Andhra Pradesh","Brake Repair; Tire Replacement","Body damage","Body repair","Volkswagen",2024-04-16,476.48,355.55,"Thomas Trevin","No"
115,"Ananthapuram","Andhra Pradesh","Fluid Leak; Oil Change","Fluid leak","Fluid replacement","TVS Motor Company",2024-05-30,374.27,265.79,"Peppers Chantel","Yes"
116,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Diagnostics","Check engine light","Diagnostic scan","Hero MotoCorp",2024-06-02,114.03,62.8,"Kim David","Yes"
117,"Ananthapuram","Andhra Pradesh","Brake Service; Oil Change","Brake wear","Brake replacement","Hyundai",2024-04-11,297.18,123.88,"al-Kamali Iffat","No"
118,"Ananthapuram","Andhra Pradesh","Tire Replacement; Engine Check","Tire wear","Tire rotation and balancing","Bajaj Auto",2024-09-11,479.34,261.61,"Barlow Julia","Yes"
119,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Brake Fluid Change","Exhaust noise","Exhaust system repair","Ford",2024-06-08,313.47,159.71,"Racine Josiah","No"
120,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Inspection","Brake noise","Brake pad replacement","Maruti Suzuki",2024-06-03,232.03,171.75,"Banks Tasia","No"
121,"Ananthapuram","Andhra Pradesh","Engine Repair; Diagnostics","Engine misfire","Diagnostic scan","Nissan",2024-01-05,341.55,186.13,"Eagle Horse Christian","No"
122,"Ananthapuram","Andhra Pradesh","Tire Rotation; Brake Service","Tire wear","Tire rotation and balancing","Hyundai",2024-11-21,193.92,101.19,"Maddux Jacob","No"
123,"Ananthapuram","Andhra Pradesh","Fluid Check; Oil Change","Low oil","Oil replacement","Ford",2024-09-28,188.47,132.62,"Varela Sierra Angel","Yes"
124,"Ananthapuram","Andhra Pradesh","Brake Inspection; General Maintenance","Brake noise","Brake pad replacement","Mahindra",2024-10-06,148.9,109.88,"Hasan Vashon","No"
125,"Ananthapuram","Andhra Pradesh","Engine Diagnostics; Tune-Up","Engine roughness","Spark plug replacement","Toyota",2024-10-14,216.27,126.12,"al-Akram Ghuzaila","Yes"
126,"Ananthapuram","Andhra Pradesh","Transmission Fluid Change; Brake Service","Slipping transmission","Transmission fluid change","Volkswagen",2024-10-03,492.9,341.01,"Ashley Claire","Yes"
127,"Ananthapuram","Andhra Pradesh","General Maintenance; Tire Inspection","Tire wear","Tire rotation","Audi",2024-02-24,119.39,52.73,"el-Salam Rayyaan","No"
128,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Fluid Change","Brake fluid leak","Brake fluid replacement","Tata Motors",2024-11-26,90.97,44.39,"Zamora Jordan","No"
129,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Engine Check","Exhaust noise","Exhaust system repair","Bajaj Auto",2024-08-25,113.86,88.99,"Hockaday Rachel","Yes"
130,"Ananthapuram","Andhra Pradesh","Battery Inspection; General Maintenance","Dead battery","Battery replacement","Hero MotoCorp",2024-09-08,360.5,252.64,"Sekich Zachary","Yes"
131,"Ananthapuram","Andhra Pradesh","Fluid Leak; Tire Rotation","Fluid leak","Fluid replacement","TVS Motor Company",2024-12-04,328.67,239.13,"Varela Sierra Angel","Yes"
132,"Ananthapuram","Andhra Pradesh","Engine Repair; Brake Service","Engine overheating","Cooling system flush","Hyundai",2024-02-08,451.13,255.84,"Enriquez Jordyn","Yes"
133,"Ananthapuram","Andhra Pradesh","Brake Inspection; Oil Change","Brake noise","Brake pad replacement","Ford",2024-11-05,352.85,224.95,"Dedios Andrew","No"
134,"Ananthapuram","Andhra Pradesh","Tire Replacement; Diagnostics","Tire damage","Tire replacement","Tata Motors",2024-05-16,381.68,274.63,"Kim Sean","No"
135,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Repair","Engine misfiring","Spark plug replacement","Nissan",2024-08-13,284.51,214.91,"Tatum Clardy Jennifer","No"
136,"Ananthapuram","Andhra Pradesh","Suspension Repair; Oil Change","Steering issues","Suspension adjustment","Kia",2024-02-17,346.93,192.23,"el-Karim Mastoor","No"
137,"Ananthapuram","Andhra Pradesh","Brake Service; Tire Inspection","Brake wear","Brake pad replacement","Hero MotoCorp",2024-03-17,419.81,183.09,"Goldsmith Taylor","No"
138,"Ananthapuram","Andhra Pradesh","Fluid Check; Engine Diagnostics","Fluid leak","Fluid replacement","Volkswagen",2024-03-23,403.83,262.61,"Perez Alejandro","No"
139,"Ananthapuram","Andhra Pradesh","Tire Alignment; Brake Inspection","Misaligned tires","Tire alignment","Mahindra",2024-07-02,490.92,342.79,"Dominguez Alexis","No"
140,"Ananthapuram","Andhra Pradesh","Exhaust Leak; General Maintenance","Exhaust noise","Exhaust system repair","Toyota",2024-02-08,247.74,107.56,"Brown Jay","No"
141,"Ananthapuram","Andhra Pradesh","Brake Repair; Oil Change","Brake noise","Brake pad replacement","Audi",2024-07-14,190.27,98.98,"Hart Danae","No"
142,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Repair","Brake noise","Brake pad replacement","Honda",2024-09-13,234.26,151.29,"Perry Michelle","Yes"
143,"Ananthapuram","Andhra Pradesh","Transmission Service; Diagnostics","Transmission slipping","Transmission fluid change","Tata Motors",2024-06-16,54.71,38.36,"Watts Thalia","Yes"
144,"Ananthapuram","Andhra Pradesh","Tire Replacement; Oil Change","Poor fuel economy","Fuel system cleaning","Ford",2024-10-12,132.73,101.78,"Carroll Kelly","Yes"
145,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Brake Service","Exhaust noise","Exhaust system repair","Hyundai",2024-04-03,429.23,253.37,"Roy Amanda","No"
146,"Ananthapuram","Andhra Pradesh","Brake Inspection; Tire Rotation","Misaligned wheels","Wheel alignment","Nissan",2024-09-28,154.02,96.55,"Maestas Janetta","Yes"
147,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Check","Engine misfiring","Spark plug replacement","Volkswagen",2024-12-09,157.59,109.47,"Lassey-Burdeen Anthony","No"
148,"Ananthapuram","Andhra Pradesh","Suspension Repair; Oil Change","Steering issues","Suspension adjustment","Kia",2024-11-05,84.51,62.79,"Acosta Lorrin","No"
149,"Ananthapuram","Andhra Pradesh","Engine Repair; Tire Alignment","Misaligned tires","Tire alignment","Toyota",2024-01-20,160.58,122.63,"Dodd Mikayla","No"
150,"Ananthapuram","Andhra Pradesh","Battery Replacement; General Maintenance","Dead battery","Battery replacement","Hero MotoCorp",2024-12-25,379.46,160.34,"el-Mian Nassaar","No"
151,"Ananthapuram","Andhra Pradesh","Exhaust Leak; Diagnostics","Exhaust leak","Exhaust system repair","Bajaj Auto",2024-07-13,431.35,259.31,"Rajpal Ashley","No"
152,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Fluid Change","Brake fluid leak","Brake fluid replacement","Mahindra",2024-12-14,273.89,147.96,"Norris Sierra","No"
153,"Ananthapuram","Andhra Pradesh","Tire Alignment; General Maintenance","Tire wear","Tire rotation and balancing","Renault",2024-06-12,224.56,165.78,"Trimble Evette","No"
154,"Ananthapuram","Andhra Pradesh","Engine Overheating; Tune-Up","Engine overheating","Cooling system flush","Audi",2024-02-21,160.9,116.26,"Avirett Ryan","Yes"
155,"Ananthapuram","Andhra Pradesh","Brake Repair; Tire Replacement","Body damage","Body repair","Volkswagen",2024-12-29,99.99,44.69,"Bahena Landa Nelson","No"
156,"Ananthapuram","Andhra Pradesh","Fluid Leak; Oil Change","Fluid leak","Fluid replacement","TVS Motor Company",2024-01-22,225.5,154.48,"el-Haq Aarif","No"
157,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Diagnostics","Check engine light","Diagnostic scan","Hero MotoCorp",2024-06-25,307.37,151.87,"Williams Arsean","Yes"
